restaurant_name,restaurant_type,rating,num_ratings,avg_cost,has_online_order,has_table_booking,cuisines,area,address
Mishmash,"Casual Dining, Bar",3.9,1240,1400.0,1,0,"Mediterranean, Continental, North Indian, Mughlai, Salad",Bellandur,Hsr
Mishra Pedha,Sweet Shop,3.3,4,300.0,0,0,"Mithai, Bakery",Brigade Road,Richmond Road
Mishra'S Pedha Big Foods,Dessert Parlor,3.9,56,200.0,0,0,"Desserts, Mithai",Basavanagudi,Jayanagar
Miss Momo,Quick Bites,3.2,10,250.0,1,0,"Tibetan, Momos",Basavanagudi,Btm
Mist N Creams,Dessert Parlor,3.6,19,400.0,1,0,Ice Cream,Whitefield,Whitefield
Mistaan Sweets And Chaat,Sweet Shop,3.3,4,200.0,1,0,"Street Food, Mithai",Koramangala 4Th Block,Hsr
Misu,Casual Dining,4.4,266,1700.0,1,1,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",Old Airport Road,Indiranagar
Mithai Time,"Sweet Shop, Quick Bites",3.0,56,200.0,1,0,"Mithai, North Indian, Street Food",Brookefield,Whitefield
Mitraa Da Pizza,Delivery,2.8,40,250.0,1,0,"Fast Food, Pizza",Kalyan Nagar,Kammanahalli
Mitran Da Junction,Quick Bites,4.1,320,600.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block
Mizo Kitchen,Quick Bites,3.8,27,400.0,0,0,"North Eastern, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
Mk Biryani,Quick Bites,2.8,40,250.0,0,0,Biryani,Kalyan Nagar,Kammanahalli
Mk Dabbawala,Delivery,2.6,29,400.0,0,0,North Indian,Indiranagar,Indiranagar
Mm Bar & Restaurant,Bar,3.4,6,700.0,0,0,"South Indian, North Indian",Brigade Road,Shivajinagar
Mockaholic Restro Beer Cafe,Bar,3.9,914,1000.0,1,0,"North Indian, Chinese, Pizza, Bbq",Basavanagudi,Jp Nagar
Modern Restaurant,Casual Dining,3.0,17,450.0,1,0,"North Indian, Chinese",Bannerghatta Road,Btm
Moghul Durbar Restaurant,Casual Dining,4.0,335,550.0,0,0,"North Indian, Bbq, Kebab, Rolls","Byresandra,Tavarekere,Madiwala",Jayanagar
Moghul'S Restaurant,Casual Dining,3.0,49,700.0,1,0,"Mughlai, North Indian, Chinese",Kalyan Nagar,Hbr Layout
Mojo Bites,Quick Bites,3.9,23,250.0,0,0,Fast Food,Brookefield,Whitefield
Mojo Pizza - 2X Toppings,Delivery,4.1,91,600.0,1,0,Pizza,Kalyan Nagar,Kammanahalli
Moksha,"Casual Dining, Bar",3.6,42,500.0,1,0,"Chinese, North Indian, Mughlai",Jp Nagar,Kanakapura Road
Mom Made Food,Quick Bites,3.4,11,400.0,0,0,"Biryani, Kerala",Frazer Town,Frazer Town
Momma'S Pastries Fine Bakery And Cafe,Bakery,3.4,10,500.0,1,0,"Bakery, Desserts, Fast Food",Kalyan Nagar,Banaswadi
Momm'S The Kitchen,Casual Dining,3.4,7,500.0,0,0,"Andhra, South Indian, North Indian, Chinese",Electronic City,Electronic City
Momo Bites,Food Court,3.0,21,350.0,1,0,Tibetan,Marathahalli,Marathahalli
Momo Blues,Quick Bites,2.8,40,200.0,1,0,"Chinese, Momos, Nepalese, Tibetan","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
Momo Cafe - Courtyard By Marriott,Casual Dining,4.1,282,2000.0,0,1,"Asian, North Indian, South Indian, Momos",Sarjapur Road,Bellandur
Momo Corner,Kiosk,3.8,22,150.0,0,0,"Fast Food, Momos",Indiranagar,Old Airport Road
Momo Hut,Quick Bites,4.0,684,250.0,1,0,"Chinese, Tibetan, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
Momo Jojo,Quick Bites,3.4,6,300.0,1,0,"Chinese, Tibetan, Momos","Byresandra,Tavarekere,Madiwala",Btm
Momo Junction,Takeaway,3.8,30,100.0,1,0,"Fast Food, Momos","Byresandra,Tavarekere,Madiwala",Btm
Momo King,Quick Bites,2.8,40,200.0,1,0,"Momos, Fast Food",Bannerghatta Road,Bannerghatta Road
Momo Mania,Quick Bites,3.8,26,300.0,1,0,"Momos, Fast Food",Marathahalli,Brookefield
Momo Rice Noodles,Casual Dining,3.8,221,400.0,1,0,"Chinese, Momos",Indiranagar,Ejipura
Momo Shop,Quick Bites,4.0,124,200.0,1,0,"Momos, Street Food, Rolls",Malleshwaram,Rt Nagar
Momo Time,Quick Bites,2.8,40,600.0,1,0,"Momos, American",Bannerghatta Road,Bannerghatta Road
Momos & Me,"Takeaway, Delivery",2.8,40,200.0,1,0,Chinese,Brookefield,Brookefield
Momos Corner,Quick Bites,3.1,15,250.0,0,0,"Chinese, Rolls, Momos",Hsr,Bommanahalli
Momoz,Casual Dining,3.9,625,600.0,0,0,"Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
Moms Flavor,Delivery,2.8,40,400.0,0,0,"North Indian, Chinese",Bannerghatta Road,Jp Nagar
Mom'S Momos,Quick Bites,3.3,6,300.0,0,0,Chinese,Bannerghatta Road,Bannerghatta Road
Mom'S Rasoi,Quick Bites,3.5,14,300.0,0,0,"South Indian, Biryani",Malleshwaram,Malleshwaram
Momscurry,Delivery,2.7,19,300.0,1,0,North Indian,Indiranagar,East Bangalore
Monarch,Casual Dining,3.5,10,700.0,0,0,"North Indian, Chinese, Continental, South Indian",Lavelle Road,Brigade Road
Monet'S Bistro,Cafe,4.5,197,600.0,0,0,"Cafe, Beverages",Indiranagar,Indiranagar
Mongolian Kitchen,Quick Bites,3.8,30,300.0,0,0,"Chinese, Mongolian",Jayanagar,Btm
Monkey Bar,Pub,4.3,3848,1400.0,1,0,"American, Asian, European, North Indian",Indiranagar,Indiranagar
Monsoon,Food Court,2.8,11,1000.0,0,0,Continental,Bellandur,Bellandur
Monsoon - The Park Bangalore,Fine Dining,4.1,274,3000.0,0,1,"Italian, North Indian",Lavelle Road,Mg Road
Monsoon Express,"Takeaway, Delivery",3.4,7,1600.0,1,0,"Continental, Thai, North Indian",Brigade Road,Mg Road
Mont Blanc Cafe,Cafe,3.8,35,650.0,1,0,"Cafe, Bakery, Italian",Bellandur,Bellandur
Mooch Marod,Quick Bites,4.2,93,400.0,0,0,North Indian,Koramangala 4Th Block,Koramangala 6Th Block
Mood For Food,Casual Dining,4.0,151,800.0,1,0,"North Indian, Biryani",Old Airport Road,Jeevan Bhima Nagar
Moolehatti Donne Biryani Mane,Quick Bites,3.6,218,400.0,1,0,"Biryani, Chinese, North Indian, Kebab","Byresandra,Tavarekere,Madiwala",Hsr
Moonlight Kitchens,Delivery,3.9,123,400.0,1,0,"North Indian, Chinese",Indiranagar,Old Airport Road
Moonlights Kitchens,Delivery,3.5,40,400.0,0,0,"North Indian, Chinese",Koramangala 6Th Block,Koramangala 1St Block
Moradabadi Special Biryani,Quick Bites,3.4,6,250.0,0,0,Biryani,Hsr,Hsr
More Pizza,Food Court,3.5,19,500.0,1,0,Italian,Bannerghatta Road,Bannerghatta Road
More Than Chocolates,Bakery,3.6,81,200.0,0,0,Bakery,"Byresandra,Tavarekere,Madiwala",Btm
Moriz Restaurant,Casual Dining,2.6,74,800.0,1,0,"Arabian, North Indian, Seafood, Chinese, Biryani",Bellandur,Bellandur
Mota Bawarchi,Quick Bites,3.5,40,300.0,0,0,"North Indian, Biryani, Fast Food",Basavanagudi,Basavanagudi
Mother Nature Kulfi,Dessert Parlor,3.6,10,200.0,0,0,"Desserts, Ice Cream","Byresandra,Tavarekere,Madiwala",Jayanagar
Mother'S Food,Quick Bites,3.8,63,200.0,1,0,"North Indian, Chinese",Marathahalli,Whitefield
Mother'S Kitchen,Casual Dining,3.7,154,600.0,1,0,North Indian,Frazer Town,Rt Nagar
Mother'S Meal,Quick Bites,3.8,133,200.0,1,0,North Indian,Indiranagar,Cv Raman Nagar
Mother'S Rasoi,Quick Bites,3.8,170,250.0,1,0,"North Indian, Chinese, Momos",Bannerghatta Road,Bannerghatta Road
Mother'S Rasoi Family Restaurant,Quick Bites,3.4,64,200.0,1,0,North Indian,Jp Nagar,Bannerghatta Road
Mothers Recipe Restaurant,Casual Dining,3.1,11,600.0,0,0,"South Indian, North Indian, Chinese",Frazer Town,Frazer Town
Mothi Restaurant,Quick Bites,3.7,64,350.0,0,0,"North Indian, Kerala",Whitefield,Whitefield
Moti Mahal Delux,Casual Dining,4.0,547,1000.0,1,1,"North Indian, Mughlai",Bellandur,Hsr
Motis Kitchen,Quick Bites,4.1,551,350.0,1,0,"South Indian, Kerala, Biryani",Indiranagar,Thippasandra
Moto Store & Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É,Cafe,4.2,380,500.0,1,0,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Indiranagar,Ulsoor
Moto Store & Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É,Cafe,4.2,383,500.0,1,0,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Mg Road,Ulsoor
Moto Store & Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚‚Ƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É,Cafe,4.2,382,500.0,1,0,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",Lavelle Road,Ulsoor
Mou Tushi Family Restaurant,Quick Bites,3.7,27,150.0,0,0,"Bengali, Oriya, Chinese, North Indian",Brookefield,Brookefield
Mount View Fast Food,Takeaway,3.3,4,100.0,0,0,"Fast Food, Street Food",Lavelle Road,Vasanth Nagar
Mountain Spice,Quick Bites,3.9,186,400.0,1,0,"Chinese, Nepalese, Tibetan, Momos",Brigade Road,Koramangala 8Th Block
Mouthful,Quick Bites,3.7,60,300.0,1,0,"Fast Food, Steak",Rajajinagar,Vijay Nagar
Mouthfull Of Cake,Quick Bites,3.9,57,600.0,0,0,Desserts,Rajajinagar,Basaveshwara Nagar
Moxa Bistro,Casual Dining,3.9,36,1500.0,0,1,"Continental, Italian, North Indian, Pizza",Brigade Road,Brigade Road
Mr Gola,Dessert Parlor,3.4,8,100.0,0,0,Desserts,Bannerghatta Road,Bannerghatta Road
Mr Manchurian,Food Court,3.6,198,500.0,1,0,"Chinese, Momos",Brookefield,Marathahalli
