restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
All Aromas,2.8,400.0,Basavanagudi,North Indian,Mid-Range
All Saints Bakery,3.6,200.0,Brigade Road,Bakery,Budget-Friendly
All Shook Up,3.6,300.0,Brookefield,Desserts,Budget-Friendly
All Shook Up!,3.6,300.0,Malleshwaram,Desserts,Budget-Friendly
Allahabadi Tadaka,2.9,250.0,Indiranagar,North Indian,Budget-Friendly
Allana Kabab,3.3,200.0,Church Street,North Indian,Budget-Friendly
Alloro - The Oterra,4.0,2500.0,Electronic City,Italian,Luxury Premium
Al-Madina,3.3,500.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Al-Madina Restaurant,3.4,400.0,Basavanagudi,Arabian,Mid-Range
Al-Marhaba Restaurant,2.8,400.0,Bannerghatta Road,Arabian,Mid-Range
Al-Noor Restaurant,2.8,400.0,Kalyan Nagar,Chinese,Mid-Range
Alpha - House Of Biryani & Tandoor,3.3,800.0,Brookefield,Biryani,Luxury Premium
Al-Sidique,4.0,400.0,Rajajinagar,North Indian,Mid-Range
Alt,4.1,1900.0,Whitefield,Finger Food,Luxury Premium
Altaf'S Chillies Restaurant,3.8,500.0,Frazer Town,North Indian,Luxury Premium
Altaj Restaurant,3.3,700.0,Malleshwaram,North Indian,Luxury Premium
Al-Taj Restaurant,3.3,600.0,Rajajinagar,South Indian,Luxury Premium
Alter Ego D'Deli,3.8,650.0,Kalyan Nagar,Cafe,Luxury Premium
Alto Vino - Bengaluru Marriott Hotel Whitefield,4.3,3000.0,Brookefield,Italian,Luxury Premium
Am Wow,3.4,100.0,Banashankari,Beverages,Budget-Friendly
Amadora Gourmet Ice Cream & Sorbet,2.8,500.0,Brookefield,Desserts,Luxury Premium
Amande Patisserie,4.0,300.0,Banashankari,Bakery,Budget-Friendly
Amanthrana Gardenia,3.8,800.0,Brookefield,North Indian,Luxury Premium
Amantrana,3.2,800.0,Rajajinagar,North Indian,Luxury Premium
Amar Kolkata,3.2,300.0,Indiranagar,Bengali,Budget-Friendly
Amara Food Point,3.3,250.0,"Byresandra,Tavarekere,Madiwala",South Indian,Budget-Friendly
Amaravathi Bar & Restaurant,3.7,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Amaravathi Mess,3.6,400.0,Electronic City,Andhra,Mid-Range
Amaravati,3.6,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Amaravati - Pure Veg Restaurant,3.5,350.0,Marathahalli,South Indian,Mid-Range
Amaravati Authentic Andhra Restaurant,3.0,600.0,Brookefield,Andhra,Luxury Premium
Amaravati Food Court,3.3,300.0,Whitefield,Kerala,Budget-Friendly
Amaravati Grand,3.3,550.0,Jayanagar,Chinese,Luxury Premium
Amazing Blue Pub,3.4,900.0,Malleshwaram,Finger Food,Luxury Premium
Ambara Gardenia,3.8,800.0,"Byresandra,Tavarekere,Madiwala",Andhra,Luxury Premium
Ambarsaria,2.7,800.0,New Bel Road,North Indian,Luxury Premium
Amber Rush By The Pool,3.9,1500.0,Brookefield,North Indian,Luxury Premium
Amber Rush Restobar,4.1,1000.0,Brigade Road,Continental,Luxury Premium
Ambika Biryani Corner,3.5,300.0,Rajajinagar,Biryani,Budget-Friendly
Ambika Vegetarian Hotel,3.7,500.0,Malleshwaram,North Indian,Luxury Premium
Ambujam'S Chettinad Mess,3.2,400.0,Kammanahalli,South Indian,Mid-Range
Ambur Azad Darbar,3.1,250.0,Jayanagar,North Indian,Budget-Friendly
Ambur Biriyani,3.2,200.0,Indiranagar,Biryani,Budget-Friendly
